icd_code	icd_version	long_title
0020	9	Typhoid fever
0029	9	Paratyphoid fever, unspecified
0030	9	Salmonella gastroenteritis
0031	9	Salmonella septicemia
00324	9	Salmonella osteomyelitis
00329	9	Other localized salmonella infections
0038	9	Other specified salmonella infections
0039	9	Salmonella infection, unspecified
0040	9	Shigella dysenteriae
0041	9	Shigella flexneri
0043	9	Shigella sonnei
0048	9	Other specified shigella infections
0049	9	Shigellosis, unspecified
0050	9	Staphylococcal food poisoning
00581	9	Food poisoning due to Vibrio vulnificus
00589	9	Other bacterial food poisoning
0059	9	Food poisoning, unspecified
0062	9	Amebic nondysenteric colitis
0068	9	Amebic infection of other sites
0069	9	Amebiasis, unspecified
0071	9	Giardiasis
0074	9	Cryptosporidiosis
0078	9	Other specified protozoal intestinal diseases
00800	9	Intestinal infection due to E. coli, unspecified
00804	9	Intestinal infection due to enterohemorrhagic E. coli
00809	9	Intestinal infection due to other intestinal E. coli infections
00841	9	Intestinal infection due to staphylococcus
00843	9	Intestinal infection due to campylobacter
00844	9	Intestinal infection due to yersinia enterocolitica
00845	9	Intestinal infection due to Clostridium difficile
00846	9	Intestinal infection due to other anaerobes
00847	9	Intestinal infection due to other gram-negative bacteria
00849	9	Intestinal infection due to other organisms
0085	9	Bacterial enteritis, unspecified
00861	9	Enteritis due to rotavirus
00862	9	Enteritis due to adenovirus
00863	9	Enteritis due to norwalk virus
00867	9	Enteritis due to enterovirus nec
00869	9	Enteritis due to other viral enteritis
0088	9	Intestinal infection due to other organism, not elsewhere classified
0090	9	Infectious colitis, enteritis, and gastroenteritis
0091	9	Colitis, enteritis, and gastroenteritis of presumed infectious origin
0092	9	Infectious diarrhea
0093	9	Diarrhea of presumed infectious origin
01005	9	Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01083	9	Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy
01120	9	Tuberculosis of lung with cavitation, unspecified
01123	9	Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy
01124	9	Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01126	9	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01140	9	Tuberculous fibrosis of lung, unspecified
03284	9	Diphtheritic cystitis
01160	9	Tuberculous pneumonia [any form], unspecified
01180	9	Other specified pulmonary tuberculosis, unspecified
01190	9	Pulmonary tuberculosis, unspecified, unspecified
01191	9	Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done
01192	9	Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)
01193	9	Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
01194	9	Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01195	9	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01196	9	Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01200	9	Tuberculous pleurisy, unspecified
01202	9	Tuberculous pleurisy, bacteriological or histological examination unknown (at present)
01203	9	Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy
01204	9	Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01206	9	Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01215	9	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01300	9	Tuberculous meningitis, unspecified
01320	9	Tuberculoma of brain, unspecified
01325	9	Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01330	9	Tuberculous abscess of brain, unspecified
03285	9	Cutaneous diphtheria
01405	9	Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01485	9	Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01500	9	Tuberculosis of vertebral column, unspecified
01501	9	Tuberculosis of vertebral column, bacteriological or histological examination not done
01522	9	Tuberculosis of knee, bacteriological or histological examination unknown (at present)
03289	9	Other specified diphtheria
0329	9	Diphtheria, unspecified
30011	9	Conversion disorder
01690	9	Genitourinary tuberculosis, unspecified, unspecified
30012	9	Dissociative amnesia
01720	9	Tuberculosis of peripheral lymph nodes, unspecified
01722	9	Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)
01730	9	Tuberculosis of eye, unspecified
01796	9	Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
01803	9	Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy
01804	9	Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01880	9	Other specified miliary tuberculosis, unspecified
01890	9	Miliary tuberculosis, unspecified, unspecified
01893	9	Miliary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy
01894	9	Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
01895	9	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
01896	9	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
0239	9	Brucellosis, unspecified
0270	9	Listeriosis
0272	9	Pasteurellosis
0279	9	Unspecified zoonotic bacterial disease
0310	9	Pulmonary diseases due to other mycobacteria
0311	9	Cutaneous diseases due to other mycobacteria
0312	9	Disseminated due to other mycobacteria
0318	9	Other specified mycobacterial diseases
0319	9	Unspecified diseases due to mycobacteria
0339	9	Whooping cough, unspecified organism
0340	9	Streptococcal sore throat
035	9	Erysipelas
0360	9	Meningococcal meningitis
0362	9	Meningococcemia
0380	9	Streptococcal septicemia
03810	9	Staphylococcal septicemia, unspecified
03811	9	Methicillin susceptible Staphylococcus aureus septicemia
03812	9	Methicillin resistant Staphylococcus aureus septicemia
03819	9	Other staphylococcal septicemia
0382	9	Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
0383	9	Septicemia due to anaerobes
03840	9	Septicemia due to gram-negative organism, unspecified
03841	9	Septicemia due to hemophilus influenzae [H. influenzae]
03842	9	Septicemia due to escherichia coli [E. coli]
03843	9	Septicemia due to pseudomonas
03844	9	Septicemia due to serratia
03849	9	Other septicemia due to gram-negative organisms
0388	9	Other specified septicemias
0389	9	Unspecified septicemia
0390	9	Cutaneous actinomycotic infection
0391	9	Pulmonary actinomycotic infection
0392	9	Abdominal actinomycotic infection
0393	9	Cervicofacial actinomycotic infection
0398	9	Actinomycotic infection of other specified sites
0400	9	Gas gangrene
04082	9	Toxic shock syndrome
04089	9	Other specified bacterial diseases
04100	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified
04101	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A
04102	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B
04103	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C
04104	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]
04105	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G
04109	9	Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus
04110	9	Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified
04111	9	Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04112	9	Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04119	9	Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus
0412	9	Pneumococcus infection in conditions classified elsewhere and of unspecified site
0413	9	Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site
04149	9	Other and unspecified Escherichia coli [E. coli]
0415	9	Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
0416	9	Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
0417	9	Pseudomonas infection in conditions classified elsewhere and of unspecified site
04181	9	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma
04182	9	Bacteroides fragilis
04183	9	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens
04184	9	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes
04185	9	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms
04186	9	Helicobacter pylori [H. pylori]
04189	9	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria
0419	9	Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site
042	9	Human immunodeficiency virus [HIV] disease
04590	9	Acute poliomyelitis, unspecified, poliovirus, unspecified type
04619	9	Other and unspecified Creutzfeldt-Jakob disease
0463	9	Progressive multifocal leukoencephalopathy
04671	9	Gerstmann-Sträussler-Scheinker syndrome
0478	9	Other specified viral meningitis
0479	9	Unspecified viral meningitis
048	9	Other enterovirus diseases of central nervous system
0490	9	Lymphocytic choriomeningitis
0491	9	Meningitis due to adenovirus
0498	9	Other specified non-arthropod-borne viral diseases of central nervous system
0499	9	Unspecified non-arthropod-borne viral diseases of central nervous system
0520	9	Postvaricella encephalitis
0521	9	Varicella (hemorrhagic) pneumonitis
0522	9	Postvaricella myelitis
0527	9	Chickenpox with other specified complications
0529	9	Varicella without mention of complication
0530	9	Herpes zoster with meningitis
05310	9	Herpes zoster with unspecified nervous system complication
05311	9	Geniculate herpes zoster
05312	9	Postherpetic trigeminal neuralgia
05313	9	Postherpetic polyneuropathy
05314	9	Herpes zoster myelitis
05319	9	Herpes zoster with other nervous system complications
05320	9	Herpes zoster dermatitis of eyelid
05321	9	Herpes zoster keratoconjunctivitis
05322	9	Herpes zoster iridocyclitis
05329	9	Herpes zoster with other ophthalmic complications
05371	9	Otitis externa due to herpes zoster
05379	9	Herpes zoster with other specified complications
0538	9	Herpes zoster with unspecified complication
0539	9	Herpes zoster without mention of complication
0540	9	Eczema herpeticum
05410	9	Genital herpes, unspecified
05411	9	Herpetic vulvovaginitis
05412	9	Herpetic ulceration of vulva
05413	9	Herpetic infection of penis
05419	9	Other genital herpes
0542	9	Herpetic gingivostomatitis
0543	9	Herpetic meningoencephalitis
05440	9	Herpes simplex with unspecified ophthalmic complication
05442	9	Dendritic keratitis
05443	9	Herpes simplex disciform keratitis
05444	9	Herpes simplex iridocyclitis
05449	9	Herpes simplex with other ophthalmic complications
0545	9	Herpetic septicemia
0546	9	Herpetic whitlow
05472	9	Herpes simplex meningitis
05473	9	Herpes simplex otitis externa
05479	9	Herpes simplex with other specified complications
0549	9	Herpes simplex without mention of complication
0559	9	Measles without mention of complication
0569	9	Rubella without mention of complication
0578	9	Other specified viral exanthemata
0579	9	Viral exanthem, unspecified
05821	9	Human herpesvirus 6 encephalitis
05829	9	Other human herpesvirus encephalitis
05881	9	Human herpesvirus 6 infection
05889	9	Other human herpesvirus infection
05910	9	Parapoxvirus infection, unspecified
061	9	Dengue
0654	9	Mosquito-borne hemorrhagic fever
0661	9	Tick-borne fever
0663	9	Other mosquito-borne fever
